No.,jointName,rotate_00,rotate_01,rotate_02,rotate_10,rotate_11,rotate_12,rotate_20,rotate_21,rotate_22
0,arm_L_humerus_ik_bind_anim,0.8170378400687589,-0.4210584650902004,0.39390219201175014,0.30505592335645276,0.8953911939354977,0.3243693780983434,-0.4892750264635619,-0.1448598591696419,0.860014865964788
0,arm_L_humerus_ik_bind_anim,0.8237247617067395,-0.4136753431490533,0.3877502126649166,0.30071651473732663,0.8985133083344841,0.31975523844036646,-0.48067358437448,-0.1467874150475216,0.8645266682227081
0,arm_L_humerus_ik_bind_anim,0.8419044067289835,-0.3926852082935723,0.37012875748548874,0.2883244395635254,0.9071265469161756,0.30657861215406834,-0.4561425078642607,-0.15139271801301848,0.8769345799157048
0,arm_L_humerus_ik_bind_anim,0.8680850493449243,-0.35962335041878407,0.34219788564131837,0.2685515818906467,0.9199668506346872,0.2855539206477937,-0.4175025688158717,-0.15598730578756595,0.8951868885686858
0,arm_L_humerus_ik_bind_anim,0.8983990174528258,-0.3161124405358256,0.3048805182006245,0.24190603269734928,0.9355846360566735,0.2572214223569465,-0.36655242024085205,-0.157335036508674,0.9169978241535734
0,arm_L_humerus_ik_bind_anim,0.9290538150863878,-0.2642474663973688,0.2589059388581101,0.208955766564255,0.9523504034340108,0.2221850505741138,-0.3052810120085633,-0.15232197996890792,0.9400008075131526
0,arm_L_humerus_ik_bind_anim,0.9566512481301525,-0.2068288847078288,0.20503707445615083,0.17053199604834635,0.968524011980634,0.18132864236160703,-0.23608733082227912,-0.1385028904660566,0.9618106474549756
0,arm_L_humerus_ik_bind_anim,0.978484006337447,-0.1473645022736601,0.14440482267381288,0.12788875657278176,0.9824216891008418,0.13598562691151073,-0.1619058840317012,-0.11459200780981739,0.9801301732229388
0,arm_L_humerus_ik_bind_anim,0.9928398153970314,-0.08977643329186494,0.0787990671758238,0.08277578321698764,0.9926737946468691,0.08801651625802843,-0.0861235779284798,-0.08086364725126392,0.9929973816068299
0,arm_L_humerus_ik_bind_anim,0.9992265299251017,-0.0378409934556198,0.010695845367781653,0.037388298789467055,0.9985096965908696,0.03975551443056764,-0.012184293474358425,-0.03932486526742686,0.9991521895908698
0,arm_L_humerus_ik_bind_anim,0.9983536821882316,0.00543821276365508,-0.05709948426331554,-0.005799683313744438,0.9999641668943683,-0.006166733390724437,0.05706390220322892,0.0064877399138082254,0.9983494479871019
0,arm_L_humerus_ik_bind_anim,0.9917838327078522,0.038222317030945994,-0.1220814632125158,-0.044250195908761884,0.9979118543541393,-0.047051579160735144,0.12002811896118003,0.05206712417897295,0.9914041886326547
0,arm_L_humerus_ik_bind_anim,0.9813621588405236,0.059809971543134464,-0.18262278198482382,-0.07551725094401195,0.9939061060061641,-0.08029817714943953,0.17670726642027537,0.09259276293357431,0.9798985265049646
0,arm_L_humerus_ik_bind_anim,0.968671458385666,0.07028419257297128,-0.23819264888604777,-0.09724987345626979,0.989873484055092,-0.10340671002102866,0.228512730108688,0.12333133356531537,0.965697320250644
0,arm_L_humerus_ik_bind_anim,0.9547209690893893,0.07012071536234497,-0.2891210066011988,-0.10699929825460312,0.9877280842397245,-0.11377337903545774,0.27759506723650534,0.13955757550629938,0.9505075811190374
0,arm_L_humerus_ik_bind_anim,0.9394024595011012,0.06357591896165903,-0.33686959140216616,-0.10801802055009557,0.987491807180837,-0.11485659749080088,0.32535384786370813,0.1442845566195678,0.934519577323757
0,arm_L_humerus_ik_bind_anim,0.9227501181741098,0.05522147676814069,-0.3814220862944516,-0.10550046639149069,0.9880715442837554,-0.1121796548750823,0.3706775836233483,0.1437539977887931,0.9175690258061763
0,arm_L_humerus_ik_bind_anim,0.905760490166437,0.04614183320338844,-0.4212705374009515,-0.09971283010875531,0.9893512641989703,-0.10602559851093352,0.41189232326562997,0.1380398756031381,0.9007162187827594
0,arm_L_humerus_ik_bind_anim,0.8896188714457086,0.03724832973588535,-0.4551821893479033,-0.09101671923387625,0.9911356090876134,-0.09677892962017724,0.4475424230031891,0.12752555167656496,0.8851231627756797
